;Index;wheat;maize;soybeans;rice;class;Word1;Word2;Word3;Word4;Word5
2555;36740;2.0;2.0;2.0;2.0;5.0;turnbul;said;climat;abbott;chang
2556;10724;0.0;0.0;0.0;0.0;5.0;govern;said;debt;bank;local
2557;49717;0.0;0.0;0.0;0.0;5.0;dutert;said;citi;percent;philippin
2558;47884;0.0;0.0;0.0;0.0;5.0;billion;percent;bank;said;year
2559;50074;0.0;0.0;0.0;0.0;5.0;appl;pay;bank;servic;year
2560;23467;0.0;0.0;0.0;0.0;5.0;said;averag;altern;schwarzman;institut
2561;39590;0.0;0.0;0.0;0.0;5.0;busi;said;pfizer;two;compani
2562;26378;0.0;0.0;0.0;0.0;5.0;quarter;rei;said;squar;percent
2563;4070;28.0;21.0;9.0;9.0;0.0;wheat;price;futur;corn;market
2564;11192;8.0;5.0;4.0;4.0;0.0;wheat;mmt;cent;usda;most
2565;8803;2.0;1.0;0.0;1.0;5.0;export;mmt;usda;current;also
2566;34113;0.0;0.0;0.0;0.0;5.0;percent;yuan;currenc;market;fix
2567;2699;0.0;0.0;0.0;0.0;5.0;energi;said;program;solyndra;guarante
2568;54625;0.0;0.0;0.0;0.0;5.0;yahoo;compani;strategi;sale;year
2569;44548;0.0;0.0;0.0;0.0;5.0;ship;china;contain;group;busi
2570;38909;0.0;0.0;0.0;0.0;5.0;valentino;mayhoola;year;said;accord
2571;46784;0.0;0.0;0.0;0.0;5.0;takata;compani;inflat;honda;corp
2572;8883;2.0;2.0;1.0;2.0;5.0;shipload;oper;said;paranagu;complet
2573;14586;11.0;9.0;11.0;5.0;4.0;11;cent;jul;close;normal
2574;39605;0.0;0.0;0.0;0.0;5.0;yuan;currenc;china;offshor;sinc
2575;34139;0.0;0.0;0.0;0.0;5.0;percent;plc;tax;budget;bank
2576;13738;0.0;0.0;0.0;0.0;5.0;greec;said;merkel;thursday;euroarea
2577;27078;0.0;0.0;0.0;0.0;5.0;percent;volkswagen;manufactur;car;septemb
2578;48581;0.0;0.0;0.0;0.0;5.0;softbank;billion;sprint;rate;yen
